NSE/EXCELINFO,Excel Infoways Limited
NSE/NOIDATOLL,Noida Toll Bridge Company Limited
NSE/OISL,OCL Iron and Steel Limited
NSE/NIF100IWIN,ICICI Prudential Nifty 100 ETF
NSE/PARRYSUGAR,Parrys Sugar Industries Limited
NSE/PDPL,Parenteral Drugs (India) Limited
NSE/NAGAROIL,Nagarjuna Oil Refinery Limited
NSE/NIITTECH,NIIT Technologies Limited
NSE/PATELENG,Patel Engineering Limited
NSE/NBCC,NBCC (INDIA) LIMITED
NSE/NITESHEST,Nitesh Estates Limited
NSE/OMMETALS,OM Metals Infraprojects Limited
NSE/PATSPINLTD,Patspin India Limited
NSE/PRAKASHCON,Prakash Constrowell Limited
NSE/PRESTIGE,Prestige Estates Projects Limited
NSE/RAJRAYON,Raj Rayon Industries Limited
NSE/ORIENTBELL,Orient Bell Limited
NSE/PENPEBS,Pennar Engineered Building Systems Limited
NSE/POLYMED,Poly Medicure Limited
NSE/POLYPLEX,Polyplex Corporation Limited
NSE/PROZONINTU,Prozone Intu Properties Limited
NSE/NIITLTD,NIIT Limited
NSE/OIL,Oil India Limited
NSE/PFS,PTC India Financial Services Limited
NSE/PNC,Pritish Nandy Communications Limited
NSE/RANEHOLDIN,Rane Holdings Limited
NSE/REVATHI,Revathi Equipment Limited
NSE/PANACEABIO,Panacea Biotec Limited
NSE/PGHH,Procter & Gamble Hygiene and Health Care Limited
NSE/RTNPOWER,RattanIndia Power Limited
NSE/SASTASUNDR,Sastasundar Ventures Limited
NSE/POKARNA,Pokarna Limited
NSE/RKFORGE,Ramkrishna Forgings Limited
NSE/PNB,Punjab National Bank
NSE/PRATIBHA,Pratibha Industries Limited
NSE/RELINFRA,Reliance Infrastructure Limited
NSE/PSUBNKBEES,R*Shares PSU Bank BeES
NSE/RELNV20,Reliance Mutual Fund - R*Shares NV20 ETF
NSE/PHOENIXLL,Phoenix Lamps Limited
NSE/PRABHAT,Prabhat Dairy Limited
NSE/PUNJLLOYD,Punj Lloyd Limited
NSE/PGEL,PG Electroplast Limited
NSE/POCHIRAJU,Pochiraju Industries Limited
NSE/REIAGROLTD,Rei Agro Limited
NSE/PHILIPCARB,Phillips Carbon Black Limited
NSE/PROVOGE,Provogue (India) Limited
NSE/PDMJEPAPER,Pudumjee Paper Products Limited
NSE/PIRPHYTO,Piramal Phytocare Limited
NSE/RELCNX100,Reliance Mutual Fund - R* Shares CNX 100 Fund
NSE/RAMANEWS,Shree Rama Newsprint Limited
NSE/PPAP,PPAP Automotive Limited
NSE/PURVA,Puravankara Limited
NSE/PIDILITIND,Pidilite Industries Limited
NSE/PRAJIND,Praj Industries Limited
NSE/PRAKASH,Prakash Industries Limited
NSE/RICOAUTO,Rico Auto Industries Limited
NSE/PNCINFRA,PNC Infratech Limited
NSE/PRIMESECU,Prime Securities Limited
NSE/REPCOHOME,Repco Home Finance Limited
NSE/RANEENGINE,Rane Engine Valve Limited
NSE/SICAL,Sical Logistics Limited
NSE/SPYL,Shekhawati Poly-Yarn Limited
NSE/PRECWIRE,Precision Wires India Limited
NSE/RAJESHEXPO,Rajesh Exports Limited
NSE/REDINGTON,Redington (India) Limited
NSE/RDEL,Reliance Defence and Engineering Limited
NSE/ROHLTD,Royal Orchid Hotels Limited
NSE/SALZERELEC,Salzer Electronics Limited
NSE/SETCO,Setco Automotive Limited
NSE/SITASHREE,Sita Shree Food Products Limited
NSE/PRESSMN,Pressman Advertising Limited
NSE/SAKUMA,Sakuma Exports Limited
NSE/SKIL,SKIL Infrastructure Limited
NSE/SRIPIPES,Srikalahasthi Pipes Limited
NSE/SUNTECK,Sunteck Realty Limited
NSE/RBL,Rane Brake Lining Limited
NSE/SDBL,Som Distilleries & Breweries Limited
NSE/SILINV,SIL Investments Limited
NSE/REMSONSIND,Remsons Industries Limited
NSE/RUCHIRA,Ruchira Papers Limited
NSE/SIGNET,Signet Industries Limited
NSE/RAYMOND,Raymond Limited
NSE/SANDESH,The Sandesh Limited
NSE/SIMPLEXINF,Simplex Infrastructures Limited
NSE/SOUTHBANK,The South Indian Bank Limited
NSE/SURYAROSNI,Surya Roshni Limited
NSE/SALORAINTL,Salora International Limited
NSE/SERVALL,Servalakshmi Paper Limited
NSE/SCHNEIDER,Schneider Electric Infrastructure Limited
NSE/SHARONBIO,Sharon Bio-Medicine Limited
NSE/SHREYAS,Shreyas Shipping & Logistics Limited
NSE/SORILINFRA,SORIL Infra Resources Limited
NSE/SUBEX,Subex Limited
NSE/SENSEXIWIN,ICICI Prudential Sensex ETF
NSE/SHYAMCENT,Shyam Century Ferrous Limited
NSE/TCS,Tata Consultancy Services Limited
NSE/SETFNIF50,SBI-ETF Nifty 50
NSE/RUSHIL,Rushil Decor Limited
NSE/SESHAPAPER,Seshasayee Paper and Boards Limited
NSE/SAKSOFT,Saksoft Limited
NSE/SHIVAMAUTO,Shivam Autotech Limited
NSE/SIYSIL,Siyaram Silk Mills Limited
NSE/SETF10GILT,SBIAMC - SETF10GILT
NSE/SUMEETINDS,Sumeet Industries Limited
NSE/TATASTEEL,Tata Steel Limited
NSE/TIIL,Technocraft Industries (India) Limited
NSE/SHIRPUR_G,Shirpur Gold Refinery Limited
NSE/STARPAPER,Star Paper Mills Limited
NSE/RML,Rane (Madras) Limited
NSE/SHILPI,Shilpi Cable Technologies Limited
NSE/SINTEX,Sintex Industries Limited
NSE/SHYAMTEL,Shyam Telecom Limited
NSE/THEMISMED,Themis Medicare Limited
NSE/SANOFI,Sanofi India Limited
NSE/SFL,Sheela Foam Limited
NSE/SUTLEJTEX,Sutlej Textiles and Industries Limited
NSE/TATAMETALI,Tata Metaliks Limited
NSE/SAIL,Steel Authority of India Limited
NSE/SCI,Shipping Corporation Of India Limited
NSE/SIMBHALS,Simbhaoli Sugars Limited
NSE/SEINV,S.E. Investments Limited
NSE/SMSPHARMA,SMS Pharmaceuticals Limited
NSE/SUNDARMFIN,Sundaram Finance Limited
NSE/STAMPEDE,Stampede Capital Limited
NSE/TFCILTD,Tourism Finance Corporation of India Limited
NSE/SIEMENS,Siemens Limited
NSE/SOTL,Savita Oil Technologies Limited
NSE/SYNGENE,Syngene International Limited
NSE/VHL,Vardhman Holdings Limited
NSE/SHANKARA,Shankara Building Products Limited
NSE/SUBROS,Subros Limited
NSE/VIMALOIL,Vimal Oil & Foods Limited
NSE/WELENT,Welspun Enterprises Limited
NSE/SJVN,SJVN Limited
NSE/SPENTEX,Spentex Industries Limited
NSE/SUNCLAYLTD,Sundaram Clayton Limited
NSE/SWARAJENG,Swaraj Engines Limited
NSE/SHARIABEES,R*Shares Shariah BeES
NSE/SITINET,Siti Networks Limited
NSE/SPMLINFRA,SPML Infra Limited
NSE/SUNDRMBRAK,Sundaram Brake Linings Limited
NSE/VOLTAS,Voltas Limited
NSE/SMPL,Splendid Metal Products Limited
NSE/SRTRANSFIN,Shriram Transport Finance Company Limited
NSE/SUPRAJIT,Suprajit Engineering Limited
NSE/TBZ,Tribhovandas Bhimji Zaveri Limited
NSE/STERLINBIO,Sterling Biotech Limited
NSE/TARMAT,Tarmat Limited
NSE/THOMASCOOK,Thomas Cook (India) Limited
NSE/SPARC,Sun Pharma Advanced Research Company Limited
NSE/TATAMTRDVR,Tata Motors Limited
NSE/WHIRLPOOL,Whirlpool of India Limited
NSE/SQSBFSI,SQS India BFSI Limited
NSE/SUNDARAM,Sundaram Multi Pap Limited
NSE/SYNCOM,Syncom Healthcare Limited
NSE/SUNPHARMA,Sun Pharmaceutical Industries Limited
NSE/THANGAMAYL,Thangamayil Jewellery Limited
NSE/TORNTPOWER,Torrent Power Limited
NSE/VIPCLOTHNG,VIP CLOTHING LIMITED
NSE/WENDT,Wendt (India) Limited
NSE/TFL,Transwarranty Finance Limited
NSE/VRLLOG,VRL Logistics Limited
NSE/YESBANK,Yes Bank Limited
NSE/SYNDIBANK,Syndicate Bank
NSE/TCIFINANCE,TCI Finance Limited
NSE/TIMKEN,Timken India Limited
NSE/VALUEIND,Value Industries Limited
NSE/UNIONBANK,Union Bank of India
NSE/VIJSHAN,Vijay Shanthi Builders Limited
NSE/ZEEL,Zee Entertainment Enterprises Limited
NSE/TANLA,Tanla Solutions Limited
NSE/TVSSRICHAK,TVS Srichakra Limited
NSE/ULTRACEMCO,UltraTech Cement Limited
NSE/WILLAMAGOR,Williamson Magor & Company Limited
NSE/TRENT,Trent Limited
NSE/UJAAS,Ujaas Energy Limited
NSE/VOLTAMP,Voltamp Transformers Limited
NSE/WIPRO,Wipro Limited
NSE/SUPREMEINF,Supreme Infrastructure India Limited
NSE/TIL,TIL Limited
NSE/TTKPRESTIG,TTK Prestige Limited
NSE/UNITEDBNK,United Bank of India
NSE/TATAPOWER,Tata Power Company Limited
NSE/THYROCARE,Thyrocare Technologies Limited
NSE/TTKHLTCARE,TTK Healthcare Limited
NSE/TDPOWERSYS,TD Power Systems Limited
NSE/TINPLATE,The Tinplate Company of India Limited
NSE/TNPL,Tamil Nadu Newsprint & Papers Limited
NSE/TWL,Titagarh Wagons Limited
NSE/TGBHOTELS,TGB BANQUETS AND HOTELS LIMITED
NSE/USHAMART,Usha Martin Limited
NSE/WELCORP,Welspun Corp Limited
NSE/TATAMOTORS,Tata Motors Limited
NSE/TIJARIA,Tijaria Polypipes Limited
NSE/VIVIMEDLAB,Vivimed Labs Limited
NSE/TCIEXP,TCI Express Limited
NSE/UCOBANK,UCO Bank
NSE/WSI,W S Industries (I) Limited
NSE/TIDEWATER,Tide Water Oil Company (India) Limited
NSE/UCALFUEL,Ucal Fuel Systems Limited
NSE/VIVIDHA,Visagar Polytex Limited
NSE/WHEELS,Wheels India Limited
NSE/TITAN,Titan Company Limited
NSE/UNITY,Unity Infraprojects Limited
NSE/WALCHANNAG,Walchandnagar Industries Limited
NSE/VIDEOIND,Videocon Industries Limited
NSE/VSTIND,VST Industries Limited
NSE/UTINIFTETF,UTI Mutual Fund - UTI-Nifty Exchange Traded Fund
NSE/ZANDUREALT,Zandu Realty Limited
NSE/UFLEX,UFLEX Limited
NSE/VISHNU,Vishnu Chemicals Limited
NSE/UNITECH,Unitech Limited
NSE/VESUVIUS,Vesuvius India Limited
NSE/ZENSARTECH,Zensar Technologies Limited
NSE/WEIZFOREX,Weizmann Forex Limited
NSE/VINYLINDIA,Vinyl Chemicals (India) Limited
NSE/VIPIND,VIP Industries Limited
NSE/WINDMACHIN,Windsor Machines Limited
NSE/VTL,Vardhman Textiles Limited
NSE/ZEEMEDIA,Zee Media Corporation Limited
NSE/VMART,V-Mart Retail Limited
NSE/ZENITHBIR,Zenith Birla (India) Limited
NSE/WINSOME,Winsome Yarns Limited
NSE/ZYDUSWELL,Zydus Wellness Limited
NSE/WABAG,VA Tech Wabag Limited
NSE/ZYLOG,Zylog Systems Limited
NSE/XCHANGING,Xchanging Solutions Limited
NSE/WOCKPHARMA,Wockhardt Limited
NSE/XPROINDIA,Xpro India Limited
NSE/ZENTEC,Zen Technologies Limited
NSE/NIFTY_PSU_BANK,National Stock Exchange of India (NSE) Stock Index - Nifty PSU Bank
NSE/ABMINTLTD,ABM International Limited
NSE/BAJAJHIND,Bajaj Hindusthan Sugar Limited
NSE/PFC,Power Finance Corporation Limited
NSE/AXISBANK,Axis Bank Limited
NSE/KCPSUGIND,KCP Sugar and Industries Corporation Limited
NSE/AUSTRAL,Austral Coke & Projects Limited
NSE/ADHUNIKIND,Adhunik Industries Limited
NSE/DCM,DCM Limited
NSE/CCL,CCL Products (India) Limited
NSE/DRREDDY,Dr. Reddy's Laboratories Limited
NSE/GREAVESCOT,Greaves Cotton Limited
NSE/DALMIASUG,Dalmia Bharat Sugar and Industries Limited
NSE/HINDALCO,Hindalco Industries Limited
NSE/NHPC,NHPC Limited
NSE/ADVENZYMES,Advanced Enzyme Technologies Limited
NSE/DPSCLTD,DPSC Limited
NSE/IDFC,IDFC Limited
NSE/SALSTEEL,S.A.L. Steel Limited
NSE/MOIL,MOIL Limited
NSE/PLASTIBLEN,Plastiblends India Limited
NSE/BALPHARMA,Bal Pharma Limited
NSE/ESSELPACK,Essel Propack Limited
NSE/ANKITMETAL,Ankit Metal & Power Limited
NSE/EKC,Everest Kanto Cylinder Limited
NSE/PANORAMUNI,Panoramic Universal Limited
NSE/GHCL,GHCL Limited
NSE/AJANTPHARM,Ajanta Pharma Limited
NSE/ANDHRACEMT,Andhra Cements Limited
NSE/JINDWORLD,Jindal Worldwide Limited
NSE/BHARATIDIL,Bharati Defence and Infrastructure Limited
NSE/DEEPAKFERT,Deepak Fertilizers and Petrochemicals Corporation Limited
NSE/EICHERMOT,Eicher Motors Limited
NSE/GIPCL,Gujarat Industries Power Company Limited
NSE/JKPAPER,JK Paper Limited
NSE/NBIFIN,N. B. I. Industrial Finance Company Limited
NSE/SUNDRMFAST,Sundram Fasteners Limited
NSE/SVOGL,SVOGL OIL GAS AND ENERGY LIMITED
NSE/TATAINVEST,Tata Investment Corporation Limited
NSE/BARTRONICS,Bartronics India Limited
NSE/JOCIL,Jocil Limited
NSE/NFL,National Fertilizers Limited
NSE/SAKHTISUG,Sakthi Sugars Limited
NSE/MBECL,Mcnally Bharat Engineering Company Limited
NSE/MRPL,Mangalore Refinery and Petrochemicals Limited
NSE/NEULANDLAB,Neuland Laboratories Limited
NSE/TUBEINVEST,Tube Investments of India Limited
NSE/AHLEAST,Asian Hotels (East) Limited
NSE/CLEDUCATE,CL Educate Limited
NSE/KDDL,KDDL Limited
NSE/ANTGRAPHIC,Antarctica Limited
NSE/ARIES,Aries Agro Limited
NSE/ASAHISONG,Asahi Songwon Colors Limited
NSE/ASIL,Amit Spinning Industries Limited
NSE/BAJFINANCE,Bajaj Finance Limited
NSE/ASPINWALL,Aspinwall and Company Limited
NSE/IDBIGOLD,IDBI Mutual Fund - IDBI Gold Exchange Traded Fund
NSE/KOKUYOCMLN,Kokuyo Camlin Limited
NSE/KSL,Kalyani Steels Limited
NSE/DYNAMATECH,Dynamatic Technologies Limited
NSE/BHARTIARTL,Bharti Airtel Limited
NSE/DHUNINV,Dhunseri Investments Limited
NSE/DONEAR,Donear Industries Limited
NSE/ECEIND,ECE Industries Limited
NSE/CORALFINAC,Coral India Finance & Housing Limited
NSE/CUPID,Cupid Limited
NSE/RUBYMILLS,The Ruby Mills Limited
NSE/DLF,DLF Limited
NSE/IGPL,IG Petrochemicals Limited
NSE/MAYURUNIQ,Mayur Uniquoters Ltd
NSE/ESSDEE,Ess Dee Aluminium Limited
NSE/GLFL,Gujarat Lease Financing Limited
NSE/GEINDSYS,GEI Industrial Systems Limited
NSE/FCSSOFT,FCS Software Solutions Limited
NSE/FINPIPE,Finolex Industries Limited
NSE/RPGLIFE,RPG Life Sciences Limited
NSE/TECHNO,Techno Electric & Engineering Company Limited
NSE/GAEL,Gujarat Ambuja Exports Limited
NSE/PAEL,PAE Limited
NSE/TRIL,Transformers And Rectifiers (India) Limited
NSE/NEPCMICON,NEPC India Limited
NSE/NITINFIRE,Nitin Fire Protection Industries Limited
NSE/ICRA,ICRA Limited
NSE/LICNETFSEN,LICNAMC - LICNFESGP
NSE/INDOCO,Indoco Remedies Limited
NSE/JKCEMENT,JK Cement Limited
NSE/JPINFRATEC,Jaypee Infratech Limited
NSE/MCDOWELL_N,United Spirits Limited
NSE/MVL,MVL Limited
NSE/PUNJABCHEM,Punjab Chemicals & Crop Protection Limited
NSE/SUDAR,Sudar Industries Limited
NSE/IOC,Indian Oil Corporation Limited
NSE/TRIVENI,Triveni Engineering & Industries Limited
NSE/JAGSNPHARM,Jagsonpal Pharmaceuticals Limited
NSE/MAHLIFE,Mahindra Lifespace Developers Limited
NSE/SHRIPISTON,Shriram Pistons & Rings Limited
NSE/TIMETECHNO,Time Technoplast Limited
NSE/KALYANIFRG,Kalyani Forge Limited
NSE/SHRIRAMCIT,Shriram City Union Finance Limited
NSE/LOVABLE,Lovable Lingerie Limited
NSE/MAGMA,Magma Fincorp Limited
NSE/RMMIL,Resurgere Mines & Minerals Limited
NSE/MAZDA,Mazda Limited
NSE/OILCOUNTUB,Oil Country Tubular Limited
NSE/SWANENERGY,Swan Energy Limited
NSE/MBLINFRA,MBL Infrastructures Limited
NSE/N100,Motilal Oswal Mutual Fund-Motilal Oswal MOSt Shares NASDAQ 100 ETF -GO
NSE/NATNLSTEEL,National Steel And Agro Industries Limited
NSE/NITINSPIN,Nitin Spinners Limited
NSE/RECLTD,Rural Electrification Corporation Limited
NSE/PARASPETRO,Paras Petrofils Limited
NSE/TMRVL,The Mandhana Retail Ventures Limited
NSE/ORISSAMINE,The Orissa Minerals Development Company Limited
NSE/SURANASOL,SURANA SOLAR LIMITED
NSE/TODAYS,Todays Writing Instruments Limited
NSE/VISESHINFO,Visesh Infotecnics Limited
NSE/PARACABLES,Paramount Communications Limited
NSE/PRADIP,Pradip Overseas Limited
NSE/SPIC,Southern Petrochemicals Industries Corporation Limited
NSE/RAMSARUP,Ramsarup Industries Limited
NSE/RELCONS,Reliance MF - R*Shares Consumption Fund - R* SHARES CONSUMPTION FUND
NSE/RKDL,Ravi Kumar Distilleries Limited
NSE/SAREGAMA,Saregama India Limited
NSE/SRHHYPOLTD,Sree Rayalaseema Hi-Strength Hypo Limited
NSE/SUPPETRO,Supreme Petrochem Limited
NSE/THOMASCOTT,Thomas Scott (India) Limited
NSE/SURYAJYOTI,Suryajyoti Spinning Mills Limited
NSE/TANTIACONS,Tantia Constructions Limited
NSE/VIDHIING,Vidhi Specialty Food Ingredients Limited
NSE/ZEELEARN,Zee Learn Limited
NSE/JUNIORBEES,R*Shares Junior BeES
NSE/ADLABS,Adlabs Entertainment Limited
NSE/BANKINDIA,Bank of India
NSE/KSBPUMPS,KSB Pumps Limited
NSE/DISHTV,Dish TV India Limited
NSE/EDL,Empee Distilleries Limited
NSE/UBHOLDINGS,United Breweries (Holdings) Limited
NSE/HDFCMFGETF,HDFC Mutual Fund-HDFC Gold Exchange Traded Fund
NSE/IGARASHI,Igarashi Motors India Limited
NSE/TTL,T T Limited
NSE/ASIANTILES,Asian Granito India Limited
NSE/BANCOINDIA,Banco Products (I) Limited
NSE/HINDPETRO,Hindustan Petroleum Corporation Limited
NSE/BIL,Bhartiya International Limited
NSE/LAMBODHARA,Lambodhara Textiles Limited
NSE/TATACOMM,Tata Communications Limited
NSE/MRO_TEK,MRO-TEK Realty Limited
NSE/ASIANHOTNR,Asian Hotels (North) Limited
NSE/BEML,BEML Limited
NSE/AIAENG,AIA Engineering Limited
NSE/ALKEM,Alkem Laboratories Limited
NSE/DALMIABHA,Dalmia Bharat Limited
NSE/GODREJPROP,Godrej Properties Limited
NSE/JVLAGRO,JVL Agro Industries Limited
NSE/CEATLTD,CEAT Limited
NSE/ARSSINFRA,ARSS Infrastructure Projects Limited
NSE/BANARISUG,Bannari Amman Sugars Limited
NSE/SRF,SRF Limited
NSE/BAJAJFINSV,Bajaj Finserv Limited
NSE/BRIGADE,Brigade Enterprises Limited
NSE/FARMAXIND,Farmax India Limited
NSE/REISIXTEN,REI Six Ten Retail Limited
NSE/CENTRALBK,Central Bank of India
NSE/INDNIPPON,India Nippon Electricals Limited
NSE/NAUKRI,Info Edge (India) Limited
NSE/NIFTYEES,Edelweiss ETF - Nifty 50
NSE/VEDL,Vedanta Limited
NSE/EASUNREYRL,Easun Reyrolle Limited
NSE/RAIN,Rain Industries Limited
NSE/GILLETTE,Gillette India Limited
NSE/JPPOWER,Jaiprakash Power Ventures Limited
NSE/SHK,S H Kelkar and Company Limited
NSE/TREEHOUSE,Tree House Education & Accessories Limited
NSE/HINDUJAFO,Hinduja Foundries Limited
NSE/LTI,Larsen & Toubro Infotech Limited
NSE/ORIENTHOT,Oriental Hotels Limited
NSE/UNICHEMLAB,Unichem Laboratories Limited
NSE/SABTN,Sri Adhikari Brothers Television Network Limited
NSE/TARAPUR,Tarapur Transformers Limited
NSE/TVTODAY,TV Today Network Limited
NSE/SANGHVIFOR,Sanghvi Forging and Engineering Limited
NSE/UTTAMSUGAR,Uttam Sugar Mills Limited
NSE/TEXINFRA,Texmaco Infrastructure & Holdings Limited
NSE/VIMTALABS,Vimta Labs Limited
NSE/TRITURBINE,Triveni Turbine Limited
NSE/CNX_PSU_BANK,National Stock Exchange of India (NSE) Stock Index - CNX PSU Bank
NSE/CNX_500_SHARIAH,National Stock Exchange of India (NSE) Stock Index - CNX 500 Shariah
NSE/NIFTY_500,National Stock Exchange of India (NSE) Stock Index - Nifty 500
NSE/CNX_PSE,National Stock Exchange of India (NSE) Stock Index - CNX PSE
NSE/NIFTY_FMCG,National Stock Exchange of India (NSE) Stock Index - Nifty FMCG
NSE/NIFTY_HIGH_BETA_50,National Stock Exchange of India (NSE) Stock Index - Nifty High Beta 50
NSE/NIFTY_CPSE,National Stock Exchange of India (NSE) Stock Index - Nifty CPSE
NSE/CNX_CONSUMPTION,National Stock Exchange of India (NSE) Stock Index - CNX Consumption
NSE/NIFTY_INFRA,National Stock Exchange of India (NSE) Stock Index - Nifty Infra
NSE/NIFTY_DIVIDEND,National Stock Exchange of India (NSE) Stock Index - CNX Nifty Dividend
NSE/GAMMONIND,Gammon India Limited
NSE/DENORA,De Nora India Limited
NSE/GALLISPAT,Gallantt Ispat Limited
NSE/AGRITECH,Agri-Tech (India) Limited
NSE/ATULAUTO,Atul Auto Limited
NSE/BHEL,Bharat Heavy Electricals Limited
NSE/DBL,Dilip Buildcon Limited
NSE/DLINKINDIA,D-Link (India) Limited
NSE/GANECOS,Ganesha Ecosphere Limited
NSE/MARICO,Marico Limited
NSE/NSIL,Nalwa Sons Investments Limited
NSE/RIIL,Reliance Industrial Infrastructure Limited
NSE/SGL,STL Global Limited
NSE/UJJIVAN,UJJIVAN FINANCIAL SERVICES LIMITED
NSE/VLSFINANCE,VLS Finance Limited
NSE/GREENLAM,Greenlam Industries Limited
NSE/KELLTONTEC,Kellton Tech Solutions Limited
NSE/LALPATHLAB,Dr. Lal Path Labs Ltd.
NSE/MANAKSTEEL,Manaksia Steels Limited
NSE/NAHARINDUS,Nahar Industrial Enterprises Limited
NSE/NV20IWIN,ICICI Prudential NV20 ETF
NSE/RALLIS,Rallis India Limited
NSE/PRICOLLTD,Pricol Limited
NSE/RSWM,RSWM Limited
NSE/SUPREMEIND,Supreme Industries Limited
NSE/TOKYOPLAST,Tokyo Plast International Limited
NSE/ANSALHSG,Ansal Housing and Construction Limited
NSE/GLOBALVECT,Global Vectra Helicorp Limited
NSE/HOVS,HOV Services Limited
NSE/ILFSTRANS,IL&FS Transportation Networks Limited
NSE/JINDRILL,Jindal Drilling And Industries Limited
NSE/KAMDHENU,Kamdhenu Limited
NSE/LYPSAGEMS,Lypsa Gems & Jewellery Limited
NSE/MEGASOFT,Megasoft Limited
NSE/MEGH,Meghmani Organics Limited
NSE/NBVENTURES,Nava Bharat Ventures Limited
NSE/NDTV,New Delhi Television Limited
NSE/ORIENTPPR,Orient Paper & Industries Limited
NSE/PFIZER,Pfizer Limited
NSE/SETFNN50,SBI-ETF Nifty Next 50
NSE/SUPERSPIN,Super Spinning Mills Limited
NSE/SREEL,Sreeleathers Limited
NSE/TATAGLOBAL,Tata Global Beverages Limited
NSE/THIRUSUGAR,Thiru Arooran Sugars Limited
NSE/TRIDENT,Trident Limited
NSE/VARDHACRLC,Vardhman Acrylics Limited
NSE/ATFL,Agro Tech Foods Limited
NSE/GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited
NSE/JAYSREETEA,Jayshree Tea & Industries Limited
NSE/RCOM,Reliance Communications Limited
NSE/TVVISION,TV Vision Limited
NSE/VASCONEQ,Vascon Engineers Limited
NSE/AXISCADES,AXISCADES Engineering Technologies Limited
NSE/SUJANAUNI,Sujana Universal Industries Limited
NSE/HIMATSEIDE,Himatsingka Seide Limited
NSE/SANGHIIND,Sanghi Industries Limited
NSE/AEGISCHEM,Aegis Logistics Limited
NSE/AMARAJABAT,Amara Raja Batteries Limited
NSE/TASTYBITE,Tasty Bite Eatables Limited
NSE/TVSMOTOR,TVS Motor Company Limited
NSE/AURIONPRO,Aurionpro Solutions Limited
NSE/PTC,PTC India Limited
NSE/VENKEYS,Venky's (India) Limited
NSE/MARALOVER,Maral Overseas Limited
NSE/ACE,Action Construction Equipment Limited
NSE/BROOKS,Brooks Laboratories Limited
NSE/BAGFILMS,B.A.G Films and Media Limited
NSE/BAJAJHLDNG,Bajaj Holdings & Investment Limited
NSE/BEARDSELL,Beardsell Limited
NSE/DBSTOCKBRO,DB (International) Stock Brokers Limited
NSE/BGRENERGY,BGR Energy Systems Limited
NSE/CANBK,Canara Bank
NSE/DCW,DCW Limited
NSE/FINCABLES,Finolex Cables Limited
NSE/BLBLIMITED,BLB Limited
NSE/CANFINHOME,Can Fin Homes Limited
NSE/CESC,CESC Limited
NSE/FIEMIND,Fiem Industries Limited
NSE/CHEMFALKAL,Chemfab Alkalis Limited
NSE/DBREALTY,D B Realty Limited
NSE/DOLPHINOFF,Dolphin Offshore Enterprises (India) Limited
NSE/HERITGFOOD,Heritage Foods Limited
NSE/JAICORPLTD,Jai Corp Limited
NSE/KHAITANLTD,Khaitan (India) Limited
NSE/EDELWEISS,Edelweiss Financial Services Limited
NSE/FLFL,Future Lifestyle Fashions Limited
NSE/IDFCBANK,IDFC Bank Limited
NSE/EUROTEXIND,Eurotex Industries and Exports Limited
NSE/GESHIP,The Great Eastern Shipping Company Limited
NSE/IPAPPM,International Paper APPM Limited
NSE/LIBERTSHOE,Liberty Shoes Limited
NSE/GLOBOFFS,Global Offshore Services Limited
NSE/JENSONICOL,Jenson & Nicholson (India) Limited
NSE/JKLAKSHMI,JK Lakshmi Cement Limited
NSE/KOHINOOR,Kohinoor Foods Limited
NSE/GSCLCEMENT,Gujarat Sidhee Cement Limited
NSE/KIOCL,KIOCL Limited
NSE/AARTIDRUGS,Aarti Drugs Limited
NSE/BGLOBAL,Bharatiya Global Infomedia Limited
